"age","sex","smoker","qx","mx"
92,"Male","smoker",0.18637,0.206249561771243
93,"Male","smoker",0.199,0.221894331913778
94,"Male","smoker",0.2105,0.23635544528644
95,"Male","smoker",0.22036,0.248923004301697
96,"Male","smoker",0.23443,0.267134624564121
97,"Male","smoker",0.24987,0.287508754138934
98,"Male","smoker",0.26725,0.310950699391135
99,"Male","smoker",0.28629,0.337278561613854
100,"Male","smoker",0.3067,0.366292473033692
101,"Male","smoker",0.32825,0.397869031486536
102,"Male","smoker",0.35002,0.430813685796606
103,"Male","smoker",0.37165,0.464657942920984
104,"Male","smoker",0.39279,0.498880583998122
105,"Male","smoker",0.41305,0.532815641657606
106,"Male","smoker",0.43208,0.565774715251007
107,"Male","smoker",0.44951,0.596946488288662
108,"Male","smoker",0.46498,0.625451149607294
109,"Male","smoker",0.47812,0.65031760258459
110,"Male","smoker",0.48857,0.670544555350516
111,"Male","smoker",0.49595,0.685079809482186
112,"Male","smoker",0.5,0.693147180559945
113,"Male","smoker",0.5,0.693147180559945
114,"Male","smoker",0.5,0.693147180559945
115,"Male","smoker",0.5,0.693147180559945
116,"Male","smoker",0.5,0.693147180559945
117,"Male","smoker",0.5,0.693147180559945
118,"Male","smoker",0.5,0.693147180559945
119,"Male","smoker",0.5,0.693147180559945
120,"Male","smoker",0.5,0.693147180559945
18,"Female","smoker",0.00027,0.000270036456562321
19,"Female","smoker",0.00027,0.000270036456562321
20,"Female","smoker",0.00024,0.000240028804608848
21,"Female","smoker",0.00019,0.000190018052286683
22,"Female","smoker",0.00017,0.000170014451637879
23,"Female","smoker",0.00019,0.000190018052286683
24,"Female","smoker",2e-04,0.000200020002667045
25,"Female","smoker",0.00019,0.000190018052286683
26,"Female","smoker",0.00018,0.00018001620194422
27,"Female","smoker",0.00018,0.00018001620194422
28,"Female","smoker",0.00018,0.00018001620194422
29,"Female","smoker",0.00018,0.00018001620194422
30,"Female","smoker",2e-04,0.000200020002667045
31,"Female","smoker",0.00021,0.00021002205308753
32,"Female","smoker",0.00022,0.000220024203549917
33,"Female","smoker",0.00023,0.000230026454056319
34,"Female","smoker",0.00025,0.000250031255209283
35,"Female","smoker",0.00027,0.000270036456562321
36,"Female","smoker",3e-04,0.000300045009001992
37,"Female","smoker",0.00034,0.000340057813104682
38,"Female","smoker",0.00037,0.000370068466889002
39,"Female","smoker",0.00039,0.000390076069778787
40,"Female","smoker",0.00042,0.000420088224703758
41,"Female","smoker",0.00043,0.000430092476510925
42,"Female","smoker",0.00045,0.000450101280385206
43,"Female","smoker",0.00167,0.00167139600443471
44,"Female","smoker",0.00176,0.00176155061966081
45,"Female","smoker",0.00187,0.00187175063279603
46,"Female","smoker",0.00205,0.00205210412613083
47,"Female","smoker",0.00225,0.00225253505329376
48,"Female","smoker",0.00246,0.00246303077148554
49,"Female","smoker",0.00271,0.00271367869768357
50,"Female","smoker",0.00297,0.00297441920218943
51,"Female","smoker",0.00328,0.00328539099152921
52,"Female","smoker",0.00361,0.00361653177454223
53,"Female","smoker",0.00398,0.00398794127786061
54,"Female","smoker",0.00439,0.0043996643446871
55,"Female","smoker",0.00484,0.00485175073102432
56,"Female","smoker",0.00535,0.0053643624991507
57,"Female","smoker",0.00593,0.00594765226990206
58,"Female","smoker",0.00659,0.0066118099210591
59,"Female","smoker",0.00731,0.00733684897401811
60,"Female","smoker",0.00812,0.00815314675638716
61,"Female","smoker",0.00901,0.00905083552041787
62,"Female","smoker",0.01001,0.010060436914618
63,"Female","smoker",0.01109,0.0111519525113906
64,"Female","smoker",0.01228,0.0123560222095841
65,"Female","smoker",0.01357,0.0136629139691833
66,"Female","smoker",0.01496,0.015073029497521
67,"Female","smoker",0.01645,0.0165868036043989
68,"Female","smoker",0.01802,0.0181843374338512
69,"Female","smoker",0.01966,0.0198558287113499
70,"Female","smoker",0.02149,0.0217242724741597
71,"Female","smoker",0.02351,0.0237907693732413
72,"Female","smoker",0.02547,0.0257999754904126
73,"Female","smoker",0.02765,0.0280394570312457
74,"Female","smoker",0.02999,0.0304488982594982
75,"Female","smoker",0.03261,0.0331535556324162
76,"Female","smoker",0.03549,0.0361350786237457
77,"Female","smoker",0.03873,0.0394999521368577
78,"Female","smoker",0.04227,0.0431893778955846
79,"Female","smoker",0.0462,0.0473012731180131
80,"Female","smoker",0.05141,0.0527786074453704
81,"Female","smoker",0.05761,0.059336077346547
82,"Female","smoker",0.06464,0.066823797059256
83,"Female","smoker",0.07252,0.0752840480753571
84,"Female","smoker",0.08055,0.0839796137952749
85,"Female","smoker",0.08778,0.0918740899284429
86,"Female","smoker",0.09921,0.10448312290167
87,"Female","smoker",0.10938,0.115837429575968
88,"Female","smoker",0.12048,0.128378974869787
89,"Female","smoker",0.13226,0.141863148363112
90,"Female","smoker",0.14456,0.156139322533736
91,"Female","smoker",0.15692,0.170693426313291
92,"Female","smoker",0.16963,0.185883894390745
93,"Female","smoker",0.18259,0.201614474014389
94,"Female","smoker",0.19474,0.216590072344368
95,"Female","smoker",0.20713,0.232096005212235
96,"Female","smoker",0.22269,0.251916037783046
97,"Female","smoker",0.23898,0.273095640256861
98,"Female","smoker",0.25583,0.29548577562631
99,"Female","smoker",0.27273,0.318457481125566
100,"Female","smoker",0.28919,0.341350114145567
101,"Female","smoker",0.3133,0.375857763355506
102,"Female","smoker",0.33747,0.411689439128137
103,"Female","smoker",0.36133,0.44836738992638
104,"Female","smoker",0.3845,0.485320333357629
105,"Female","smoker",0.4066,0.521886571125416
106,"Female","smoker",0.42726,0.557323417425571
107,"Female","smoker",0.44611,0.590789167906376
108,"Female","smoker",0.46277,0.621328970769476
109,"Female","smoker",0.47686,0.647906164314359
110,"Female","smoker",0.488,0.669430653942629
111,"Female","smoker",0.49583,0.684841766196859
112,"Female","smoker",0.5,0.693147180559945
113,"Female","smoker",0.5,0.693147180559945
114,"Female","smoker",0.5,0.693147180559945
115,"Female","smoker",0.5,0.693147180559945
116,"Female","smoker",0.5,0.693147180559945
117,"Female","smoker",0.5,0.693147180559945
118,"Female","smoker",0.5,0.693147180559945
119,"Female","smoker",0.5,0.693147180559945
120,"Female","smoker",0.5,0.693147180559945
